movie_title,genre,MPAA_rating,total_gross,adjusted_gross,year
Confessions of a Shopaholic,Romantic Comedy,PG,44277350,49767744,2009
Jonas Brothers: The 3D Concert Experi…,Concert/Performance,G,38174685,38174685,2009
Race to Witch Mountain,Adventure,PG,67172594,75501997,2009
Hannah Montana the Movie,Drama,G,79576189,89443640,2009
Earth,Documentary,G,32011576,35981010,2009
Up,Adventure,PG,293004164,329336681,2009
The Proposal,Romantic Comedy,PG-13,163958031,184288829,2009
G-Force,Adventure,PG,119436770,134246932,2009
Gake no ue no Ponyo,Adventure,G,15090399,16961607,2009
X Games 3D: The Movie,Documentary,PG,1391434,1563976,2009
Walt and El Grupo,Documentary,PG,20521,23064,2009
Surrogates,Action,PG-13,38577772,43361416,2009
Toy Story 3D Double Feature,Adventure,G,30702446,34509545,2009
Disney's A Christmas Carol,Drama,PG,137855863,154927105,2009
The Princess and the Frog,Adventure,G,104400899,116316457,2009
Old Dogs,Comedy,PG,49492060,55503929,2009
When in Rome,Romantic Comedy,PG-13,32680633,34917330,2010
Alice in Wonderland,Adventure,PG,334191110,357063499,2010
Waking Sleeping Beauty,Documentary,PG,80741,86264,2010
The Last Song,Drama,PG,62950384,67258772,2010
Oceans,Documentary,G,19422319,20751600,2010
Prince of Persia: Sands of Time,Action,PG-13,90759676,96971361,2010
Toy Story 3,Adventure,G,415004880,443408255,2010
